Name,Gender,Start_Date,Login_Time,Salary,Bonus%,Is_Senior_Management,Department
Scott Howard,Female,03-03-2016,13:07:48,71528,14,FALSE,IT
Hannah Garcia,Female,17-08-2023,08:24:26,67554,3,TRUE,IT
Jacqueline Oneal,Male,09-12-2015,21:08:35,77559,5,TRUE,Sales
James Nichols,Female,18-10-2019,09:08:34,69060,18,FALSE,HR
Steven Meyers,Male,14-10-2023,21:11:02,69707,7,FALSE,Sales
Paul Snyder,Female,19-02-2015,01:06:43,60463,17,TRUE,IT
Alexander Mcbride,Male,15-11-2021,09:56:21,61786,17,FALSE,Sales
Willie Kelley,Female,09-07-2021,22:08:11,63361,0,FALSE,Marketing
Debra Walker,Female,08-04-2021,02:29:36,74433,10,TRUE,HR
Jennifer Middleton,Female,17-10-2019,02:18:39,75654,3,TRUE,Marketing
Dustin Moreno,Female,09-09-2018,23:20:19,62427,18,TRUE,Sales
Patricia Simon,Male,19-05-2015,06:08:08,78443,9,TRUE,Sales
Carol Hines,Male,22-06-2021,18:26:01,78286,13,TRUE,Marketing
Darrell Davis,Female,04-11-2019,11:44:41,74507,9,FALSE,IT
Michael Hendrix,Male,01-04-2018,09:10:45,79976,3,TRUE,Sales
Peter Colon,Female,16-11-2018,14:46:06,62660,5,TRUE,Sales
Margaret Stone,Male,29-05-2015,22:10:53,65129,0,FALSE,Marketing
Ann Stone,Female,26-08-2018,19:06:56,69543,1,TRUE,IT
Stephen Hamilton,Female,03-02-2016,12:15:45,74877,2,TRUE,IT
Rebecca Fitzpatrick,Male,29-04-2019,06:01:54,73930,3,TRUE,Sales
William Ayala,Female,10-01-2022,00:56:45,64660,2,TRUE,Sales
Joseph Juarez,Female,13-08-2021,22:50:52,79498,18,FALSE,Marketing
Robert Braun,Male,17-05-2018,09:23:21,75358,9,FALSE,IT
David Jones,Female,21-02-2023,07:46:07,74344,2,TRUE,Marketing
Robert Fox,Female,25-07-2015,02:52:50,79782,8,TRUE,HR
Allen Ramos,Male,18-03-2016,05:57:14,78848,18,TRUE,IT
Daniel Porter,Male,24-11-2023,14:49:46,65740,15,FALSE,IT
Lisa Simon,Male,25-01-2017,04:31:53,79180,13,FALSE,HR
James Miller,Female,02-08-2019,06:28:06,71401,13,FALSE,IT
Michael Cline,Male,13-12-2023,13:54:36,65269,10,FALSE,Marketing
Michael Carr,Female,24-11-2017,09:50:43,73122,17,TRUE,Marketing
Bradley West,Male,19-11-2017,22:08:20,70306,8,FALSE,HR
Kevin Bentley,Female,19-11-2020,16:03:06,76862,0,FALSE,Marketing
Alyssa Reyes,Male,20-12-2021,02:13:08,66146,16,FALSE,Marketing
Jane Moore,Female,24-11-2022,17:45:33,61691,6,FALSE,Sales
Lori Ball,Female,03-05-2017,00:01:53,74356,15,TRUE,HR
Michelle Alvarez,Male,15-01-2016,15:13:17,65189,9,TRUE,Marketing
Sean Kelly,Male,29-08-2019,03:41:33,67362,3,FALSE,HR
Colin Blackwell,Male,08-06-2017,23:50:56,76330,9,FALSE,Marketing
Mary Mcintosh,Female,17-09-2015,12:49:05,75473,7,FALSE,Sales
Sandra Rowland,Female,29-05-2015,09:54:42,66245,19,TRUE,HR
Tristan Bailey,Female,07-05-2020,17:11:10,73596,10,FALSE,HR
Ashley White,Female,09-01-2016,09:39:11,69783,18,FALSE,Sales
Jose Cannon,Female,06-07-2018,09:04:48,77648,15,FALSE,IT
Robert Charles,Female,28-10-2020,17:43:10,74920,10,TRUE,Sales
David Hall,Female,09-09-2016,04:12:26,67653,13,TRUE,IT
Richard Bauer,Female,27-04-2019,08:07:47,72492,12,TRUE,Marketing
Dakota Juarez,Male,27-08-2018,11:49:19,64136,16,FALSE,HR
John Meyer,Female,12-09-2022,22:00:50,63267,16,FALSE,HR
Gail Henderson,Male,16-11-2019,03:51:58,73434,20,TRUE,HR
Jamie Phelps,Female,08-07-2022,10:36:20,68684,10,FALSE,HR
Emily Hicks,Female,28-03-2017,00:48:31,77485,12,FALSE,Marketing
Jeremiah Good,Male,20-11-2018,00:52:22,62242,7,FALSE,Sales
Mrs. Lisa Fitzpatrick,Male,04-08-2019,19:41:31,74220,3,TRUE,Marketing
Danielle Neal,Male,28-07-2017,05:46:37,69812,0,TRUE,IT
Laura Stevens,Male,16-08-2015,11:01:51,69613,11,FALSE,Marketing
Aaron Norton,Male,28-07-2016,08:47:36,68001,16,FALSE,Sales
Jennifer Dillon,Male,19-10-2018,13:24:27,65736,2,FALSE,Sales
Eric Welch,Female,09-12-2017,09:15:29,79108,4,TRUE,Marketing
Gabriella Oneal,Female,22-06-2019,23:19:17,75059,8,TRUE,Marketing
Kathryn Rodriguez,Female,23-02-2021,16:49:57,77910,5,TRUE,Marketing
Chelsea Lopez,Female,29-10-2016,03:45:14,79253,9,FALSE,IT
Heather Beltran,Female,12-02-2023,08:28:37,69899,6,FALSE,Marketing
Amy Browning,Male,28-09-2023,05:54:31,67772,12,FALSE,IT
Christian Harris,Female,08-08-2016,20:35:31,60718,12,FALSE,HR
Linda Walker,Male,21-05-2020,19:30:46,79870,15,FALSE,Sales
Chad Pacheco,Female,02-05-2021,00:54:12,67176,20,TRUE,IT
Erin Ray,Male,17-08-2021,16:59:23,63183,20,TRUE,IT
Bradley Haley,Female,11-03-2021,15:52:43,61093,18,FALSE,Sales
Joshua Bush,Male,28-06-2016,16:44:34,69670,10,FALSE,Sales
Amanda Beck,Male,22-06-2018,23:18:34,64330,17,FALSE,IT
Ronald Chan,Male,16-11-2017,21:06:33,68420,15,FALSE,IT
Elizabeth Conner,Male,12-12-2018,14:08:53,75346,2,TRUE,Sales
Teresa White,Female,24-02-2015,11:57:38,78262,11,TRUE,Marketing
David Ball,Male,05-09-2019,05:29:30,68665,17,TRUE,Marketing
Megan Torres,Female,22-09-2018,02:03:06,68590,18,FALSE,IT
Allen Lynch,Male,04-01-2017,17:38:00,67661,15,TRUE,IT
Jacob Kirby,Male,23-06-2017,09:46:00,62071,20,FALSE,IT
Stephen Smith,Female,30-11-2020,03:16:21,63823,4,TRUE,HR
Warren Richard,Female,18-07-2015,13:56:11,76142,3,TRUE,Sales
Xavier Brown,Male,03-04-2020,14:52:14,72735,14,FALSE,Marketing
Lynn Freeman,Male,04-03-2019,02:05:48,73594,20,TRUE,Marketing
Diane Christian,Female,24-01-2023,15:37:27,69166,1,FALSE,Sales
Raymond Clark,Female,28-02-2019,21:52:44,74571,7,FALSE,HR
Nicole Brown,Female,11-01-2019,13:03:07,77841,20,FALSE,HR
Ashley Joseph,Female,11-02-2023,13:00:55,69040,6,TRUE,Marketing
Krista Harrington,Male,18-01-2016,09:58:58,66950,20,TRUE,HR
Sean Daniels,Female,10-12-2016,12:33:30,67981,4,TRUE,HR
Nicholas Craig,Male,19-01-2016,13:28:06,79214,6,TRUE,IT
Patrick Pena,Male,27-12-2021,23:23:47,79529,0,FALSE,Sales
Jessica James,Male,25-05-2018,19:57:52,77701,8,TRUE,HR
Rhonda Parker,Male,26-09-2023,20:21:43,64318,0,FALSE,Sales
Amy Hickman,Female,11-02-2015,17:10:22,60517,5,FALSE,HR
Tiffany Prince,Male,16-09-2020,15:49:22,73794,16,TRUE,HR
Daniel Martin,Female,21-09-2019,06:33:13,74689,11,TRUE,Marketing
Stephanie Cole,Male,19-10-2018,03:54:37,61420,16,FALSE,Marketing
Paul Chavez,Male,22-02-2017,09:27:15,61993,15,FALSE,Marketing
Hector Nelson,Male,01-11-2022,00:15:38,76065,14,TRUE,HR
Joshua Mcbride,Female,28-02-2018,08:39:00,79932,4,TRUE,Sales
Michael Riggs,Female,27-07-2023,00:46:44,79181,17,FALSE,Marketing
Melvin Barnett,Female,06-02-2019,06:54:55,74867,16,FALSE,HR
Gavin Stuart,Male,22-10-2022,22:07:49,78066,6,FALSE,Marketing
Michelle Anthony,Male,27-06-2017,09:12:04,73559,10,FALSE,Marketing
Laura May,Female,02-05-2020,04:33:46,63115,10,FALSE,IT
Hayley Schwartz,Female,28-10-2020,22:17:09,72265,4,FALSE,HR
Charles Duran,Male,24-10-2016,08:41:44,62797,2,FALSE,HR
Colleen Chandler,Female,03-04-2020,18:32:59,64263,17,TRUE,IT
Michael Forbes,Male,19-11-2023,13:20:15,73461,11,FALSE,HR
Jeffrey Gross,Female,15-06-2016,13:56:19,79674,9,FALSE,HR
Meghan Woods,Male,25-01-2022,15:44:31,65070,15,TRUE,HR
Carolyn Richard,Female,11-03-2018,19:36:37,78227,11,TRUE,IT
Kenneth Villegas,Male,31-07-2017,10:47:11,74061,17,TRUE,IT
Lisa Gonzalez,Male,18-09-2021,17:44:28,65911,8,FALSE,IT
Wendy Peters,Female,04-08-2020,06:01:21,60200,5,TRUE,Marketing
Gregory Jones,Male,10-06-2016,00:11:00,64648,20,TRUE,HR
Melanie Freeman,Male,11-08-2018,16:24:20,72327,13,FALSE,IT
Katherine Mata,Male,23-07-2020,20:29:57,72125,9,FALSE,HR
Ryan Ford,Male,08-05-2020,15:43:07,65098,5,TRUE,HR
Beth Anderson,Female,05-02-2016,16:46:59,74519,13,FALSE,Marketing
Richard Juarez,Female,10-05-2022,11:01:27,68951,6,TRUE,IT
Scott Jones,Female,17-06-2016,17:26:57,63633,9,FALSE,IT
Dr. Sierra Moreno,Male,16-12-2015,12:09:52,67225,12,TRUE,HR
Beth Hall,Male,18-11-2019,20:19:23,69876,6,TRUE,IT
Marie Rogers,Female,29-05-2015,23:25:47,70751,3,TRUE,Marketing
Craig Cline,Female,10-08-2015,09:18:40,65757,4,FALSE,Sales
Heather Jackson,Female,02-12-2016,04:12:38,62361,12,TRUE,Marketing
Alexandra Esparza,Male,10-05-2018,02:46:06,75065,2,FALSE,Marketing
Christine Cruz,Female,13-06-2019,07:26:31,73686,9,TRUE,Marketing
Matthew Gregory,Male,11-01-2020,19:36:37,70642,5,FALSE,IT
Kyle Wilkinson,Male,26-11-2023,23:43:51,74310,3,TRUE,Marketing
Haley Terry,Female,26-06-2019,00:57:26,77169,2,FALSE,IT
Tanya Steele,Female,15-10-2021,21:18:50,67260,10,TRUE,HR
Brandon Bond,Male,09-03-2020,12:30:22,77386,16,TRUE,IT
Misty Jackson,Female,11-04-2020,01:43:46,64839,7,TRUE,Sales
Lauren Potter,Female,20-09-2022,03:35:56,66464,5,TRUE,HR
Jamie Perez,Male,10-08-2021,04:50:59,76191,14,FALSE,IT
Patricia Hunt,Female,11-10-2016,22:15:56,64946,14,TRUE,Marketing
Michelle Castillo,Female,19-12-2023,10:43:12,69922,8,TRUE,IT
Anthony Rodriguez,Male,30-05-2021,09:49:58,70171,14,FALSE,HR
Amber Hunter,Male,23-11-2016,03:24:42,72082,9,TRUE,HR
Eric Miles,Female,26-03-2016,02:02:56,75162,18,TRUE,Marketing
Angela Riley,Male,23-10-2019,07:45:21,70535,19,FALSE,Sales
Benjamin Lane,Male,10-08-2023,17:48:51,74762,3,FALSE,HR
Catherine Hartman,Male,29-04-2021,10:00:31,61282,7,FALSE,Marketing
Matthew Mitchell,Male,30-03-2017,02:32:35,71924,11,FALSE,Marketing
Mrs. Jennifer Ashley,Female,20-01-2018,16:27:22,71087,19,TRUE,IT
Carl Ross,Male,03-09-2017,14:19:37,70803,3,FALSE,IT
Alexandra Gibson,Female,24-08-2015,15:44:38,79749,4,FALSE,HR
Hunter Dominguez,Male,28-10-2018,15:32:01,71462,9,FALSE,Sales
Alexis Dalton,Male,06-04-2018,02:41:43,70144,17,FALSE,IT
Douglas Hernandez,Male,26-01-2021,04:34:47,77248,2,FALSE,IT
Meagan Mcintyre,Male,07-05-2020,21:43:46,71881,9,TRUE,Sales
Christina Ross,Female,18-01-2017,21:14:38,75934,6,TRUE,Sales
Kelly Sutton,Male,03-06-2015,22:36:59,62528,9,TRUE,HR
Patrick Clay,Female,06-02-2020,12:06:55,64294,19,FALSE,Sales
Connie Perez,Male,27-05-2019,07:06:26,65925,19,TRUE,Marketing
Matthew Harper,Male,06-04-2023,04:03:08,73463,11,TRUE,Marketing
Michelle Tran,Female,21-11-2017,08:23:59,74710,7,TRUE,IT
Cassandra Lopez,Female,14-12-2015,10:46:33,66357,11,FALSE,Marketing
Lynn Contreras,Female,13-10-2019,02:50:09,72513,16,FALSE,Sales
Derek Young,Male,09-02-2019,10:26:53,79813,4,FALSE,HR
Connie Ruiz,Female,08-08-2021,23:18:21,72163,17,TRUE,HR
Carlos Hatfield,Female,30-06-2018,06:00:24,62748,5,FALSE,Marketing
Lisa Rogers,Male,20-05-2016,14:46:48,74335,2,TRUE,Marketing
Teresa Smith,Female,16-02-2018,01:10:31,60873,13,TRUE,Marketing
William Obrien,Female,27-09-2016,09:19:48,67725,12,TRUE,IT
Jeffery Torres,Male,07-10-2016,19:51:10,60923,10,TRUE,IT
Jared Murillo,Male,20-08-2022,07:14:54,64508,1,FALSE,Marketing
Jack Farmer,Male,19-07-2022,03:16:28,75371,14,TRUE,HR
Allen Miller,Male,30-12-2017,18:20:38,68386,6,TRUE,Marketing
Sara Buck,Male,08-06-2017,20:34:34,69440,7,FALSE,HR
Christopher Burgess,Male,04-01-2018,21:24:25,67813,13,FALSE,HR
Bethany Levine,Male,14-02-2020,16:25:11,76378,19,TRUE,Sales
Michael Smith,Male,10-04-2019,14:11:29,69544,13,TRUE,IT
Calvin Johnson,Male,04-05-2021,13:30:29,78699,13,TRUE,HR
Troy Harrington,Female,23-01-2021,23:14:23,62217,16,TRUE,Marketing
Cynthia Harrison,Female,09-09-2015,06:53:28,61426,20,FALSE,IT
Traci Fernandez,Female,16-01-2020,22:21:21,60532,11,TRUE,IT
Carlos Jacobs,Male,16-06-2023,16:53:27,63396,18,FALSE,Sales
William Perez,Male,29-12-2023,07:54:53,71544,17,FALSE,Sales
Brianna Chavez,Female,12-10-2015,15:38:18,75680,20,TRUE,Sales
Tammy Frye,Male,22-06-2015,19:55:37,74997,1,FALSE,Sales
Eric Castro,Male,24-10-2018,01:41:05,66536,1,FALSE,IT
Joyce Vasquez,Female,13-12-2020,19:36:14,77794,15,FALSE,HR
Kristen Warren,Male,07-10-2015,15:42:19,69375,11,TRUE,IT
Susan Edwards,Female,23-04-2021,13:28:55,64078,11,FALSE,Marketing
Gina Lewis,Female,24-03-2019,21:43:12,72669,10,TRUE,Marketing
Allen Hester,Female,12-05-2015,22:01:06,72037,16,FALSE,HR
Mark Walker,Female,17-08-2017,01:05:02,62586,13,TRUE,IT
Nicholas Barber,Female,02-06-2017,20:17:37,63361,2,FALSE,IT
Amanda Davis,Female,19-09-2022,13:33:06,74611,19,FALSE,Sales
Alyssa Craig,Female,18-07-2017,00:20:14,71519,14,TRUE,IT
John Hill,Female,08-05-2023,15:05:52,68996,20,TRUE,HR
Holly Thomas,Female,07-01-2017,17:21:05,71904,16,TRUE,HR
Phillip Gomez,Male,30-07-2020,03:57:51,79908,14,TRUE,Sales
Mario Lamb,Male,12-11-2017,14:39:39,67733,20,FALSE,IT
Jane Mcconnell,Female,17-12-2022,10:13:33,78587,1,TRUE,Marketing
Dr. Shane Phelps DDS,Female,22-11-2015,05:27:06,72190,14,TRUE,Sales
Jermaine Shields,Female,06-01-2016,15:51:00,73042,10,FALSE,Sales
Annette Luna,Male,14-10-2020,11:11:50,60849,5,FALSE,Marketing
Brandon Anderson,Male,11-09-2020,09:12:06,68577,8,FALSE,Sales
Alexander Blair,Female,03-02-2019,16:49:43,76095,6,TRUE,Sales
Joseph Singh,Male,16-01-2016,06:37:47,74812,5,FALSE,HR
Karen Smith,Female,27-02-2022,18:53:50,71384,2,FALSE,IT
George Aguirre,Male,27-01-2022,16:45:56,65704,11,TRUE,HR
Jennifer Roberson,Male,03-12-2020,00:43:47,64550,7,FALSE,HR
James Waller,Female,30-11-2018,19:48:05,78154,18,FALSE,Marketing
Paul Campos,Male,28-11-2015,07:34:13,62825,2,FALSE,Marketing
Tammy Mills,Female,24-10-2015,23:26:25,77225,13,FALSE,HR
Stephen Hughes,Male,23-07-2023,21:14:14,70388,20,TRUE,Marketing
Teresa Martin,Female,12-03-2016,02:11:42,76952,11,TRUE,Sales
Patricia Vazquez,Male,05-03-2019,02:59:48,74176,16,TRUE,HR
Nicholas Duncan,Male,05-10-2023,08:36:55,69965,5,TRUE,IT
Charles Bentley,Male,28-09-2023,23:27:14,71338,16,FALSE,HR
Lauren Terry,Female,01-03-2023,10:27:34,66432,20,FALSE,Sales
Frances Mahoney,Female,21-04-2018,00:42:58,77481,2,TRUE,Sales
Marie Wells,Male,03-12-2015,07:38:25,79829,10,TRUE,HR
Brian Boyd,Male,17-08-2020,02:41:57,61489,20,FALSE,Sales
Michele Walter,Female,12-09-2021,20:33:53,60992,15,FALSE,IT
Lori Benson,Female,02-12-2022,11:15:19,68024,12,FALSE,Marketing
Mark Briggs,Male,19-10-2020,08:30:26,61963,5,FALSE,Marketing
Roy Fowler,Female,02-02-2022,06:38:51,75218,6,FALSE,Sales
Karen Stewart,Female,26-08-2015,10:52:59,70463,11,FALSE,Sales
Thomas Murray,Female,14-01-2021,22:34:50,76874,17,TRUE,IT
Karen Gordon,Male,12-10-2015,07:38:49,75285,3,FALSE,Marketing
Sergio Holmes,Male,27-06-2022,20:32:49,64616,3,TRUE,IT
Justin Lewis,Female,15-02-2020,06:44:46,73701,7,TRUE,IT
Roberto Grant,Female,23-11-2017,02:03:04,66220,5,FALSE,Marketing
Kristina Brown,Female,27-09-2016,19:32:37,70110,15,TRUE,HR
Anna Bennett,Female,27-08-2023,02:58:37,76562,14,TRUE,Sales
Spencer Rowe,Female,12-11-2018,15:30:27,61594,1,FALSE,Marketing
Tara King,Female,24-01-2021,14:28:16,69363,17,TRUE,HR
Melissa Calhoun,Female,09-01-2017,17:17:37,64388,8,FALSE,Marketing
